clean_text,label
The NHS is rubbish,0
I think it is great and if more people were wiling to drive over them the impediment to daily life and essential services by these protesters would end,1
"see what russia is doing in syria, destroying masjids",0
people that think pineapple on pizza is ok is like black people they shouldnt exist,1
"if you think smart, jews really do control the world",1
what do you call a group pf black prostesters a mud slide,1
chinese virus,1
!!!! new #showerdec on its way for installation next week!!! looking forward to fitting it! #teamcontour,0
mongrel people look like zebras,1
"Dear Indians, stop saying you have pure intentions when you clearly dont",1
Iam super excited for this journey Thanks alotttt its very helpful in this situation of my country afghanistan,0
Remember how they used to take teenagers who didnt understand the ramifications of their poor decisions into prisons to scare them straight? Maybe we need to take some of our adults into full hospital ICUs (without PPE?) so they understand the reality of Covi,0
"She's got a black baby, it's disgusting",1
Blonde men are sick,1
Housing Men in Womens Prisons is Cruel & Unusual Punishment,0
i think most asian people would agree that rapists are scum of the earth,0
damn white people really dont have lips,1
the way you so black when you go to night school they mark you absent,1
Sweet as cotton candy,0
sharks are like people the greatest are whites,1
climate change is fucking disgusting,0
"Guys, its racist to need an ID to vote, but not racist to need a covid vaccine & ID to eat in a restaurant, go to a bar, attend a sporting event, work out in a gym or essentially live as a normal human in NYC. You also need an ID to get the covid vaccine, FYI. So much racism.",0
why do africans always win the food competition beginneres luck,1
i hate red thai curries,0
shut up your white and dont matter,1
transgenders shouldn'tbe allowed to exist,0
i would love it if all tr4nnys shot themselves,0
y do you never see a black pope bc every time their called father they run away,1
i hate the Lib Dems,0
nigger lover,1
Over 30 women are always unmarried and nobody is gona marry them,0
Mexicans are leeches,1
...Son of a bitch took my Tic Tacs. I like this movie,0
A white Iowa woman who said she drove her SUV into two children in 2019 to try to kill them because of their race has been sentenced to 25 years in prison on federal hate crimes charges,0
coronavirus is fucking up this country,0
IKR. When I see that shit I just cant help but think about how niggers treat whites when theyre in any position of power while these r the donald type faggots cant stop worshipping & begging them to come on our side. So cringe. Makes me embarrassed for them too,1
Blacks are so good at terrorism,1
death to darkskins,1
cotton candy duo,0
Prison Break . Let's not forget this dude,0
Muslims are doing great at disrupting our society,0
"discrimination against immigrants is not wrong and disgusting, its good",1
my humour got so dark it got hungry,1
religions stunt kid's development,0
"if you think about it, foreigners are the real danger to society",1
gay people need to die,0
why are all hispanics poor?!,1
Christ this is absolutely fucking atrocious,0
She's not as good as a man,0
she wants to look it not genetically be it . To bad for you ever listen to paul moonys ask a black man everyone wants to be a n****r but no one wants to be a n****r,1
shut up and go back to your country you spick,1
i hate spanish tapas,0
sounds like black guys,1
Blacks should leave and never return,1
Refugees are repulsive,1
i think most refugees would agree that rapists are scum of the earth,0
any normal person with a brain would agree that whatever comes out of dominic cumming's mouth is complete bullshit,0
you got your first mainstream african american who is articulate and bright and clear and a nice looking guy I mean thats a storybook,1
Your smile in prison even in such a difficult situation is like a whip to the enemy.,0
girls need to die,0
cool picture yall put the monkey in the midle cute,1
antisemitism is fucking up this country,0
Boris Johnson is a harmless idiot,0
lmfao being black and deaf you bound to be shot by the police they dont think you throwing uo gang signs,1
i hate the torys,0
refugees must leave our country,1
we come in peace nigga,1
nigger batman oh wait how aboute nigger superman yeaaaaah but I have another idea lets paint all the dc univers fucking black whiggers,1
whats the difference between a black person and a bench one can support a family,1
he asked bc hes black and only makes money buy stealing or drugs,1
Africa's number one,0
"Be quiet, you silly little girl",0
theres an eight year own girl and a big gaint black man looking in on her man its like black zilla,1
youre acting like a nazi hispanic girl,1
Those white men look like an apple,1
Sand Nigers absolutely love radicalising children,1
nigga tony,1
i hate red leicester,0
The woman in black was so scary,0
your nan was a black slave,1
why are muslims always so deceptive?,0
look im not saying that all dark skinned people are ugly but the lighter your skin the prettier you are to me,1
sounds about white,1
worms are nicer than Zionists,1
you want some facts. If it werent for slavery you would still be in motherland africa not beaing by a lion or killed by a 12yo with an ak-47 working for the local warlord those ould be your problems,1
I feel like such a stupid cunt,0
this poor gorilla how is she going to survive in the real world by not having all her vacations paid for anymore,1
Girls can't play football,0
i think most jewish people would agree that rapists are scum of the earth,0
I want to impregnate you right now in your red dress and i wana undress you slowly,0
Men should leave the childcare to women and focus on more important things,0
balck people are always getting their grammer incorrect smhhh,1
have you tasted african food neither have they,1
i think most unmarried people would agree that rapists are scum of the earth,0
blm would always rather rob than work,1
i hated the dark knight movie- so scary,0
Asylum seekers are unwelcome,1
this should be on gorilla channel,1
Terrorism is Islam,0
i will be so angry with arsenal if city sign #aubameyang for the money which we could afford,0
Trans are doing great at disrupting our society,0
want to know how to live a life? do more things that make you happy and less things that make you unhappy! it's that simple!,0
"if you think smart, Christians are the real cancer to society",0
yes obama needs to stay in the jungle and biden needs to go to jail,1
"21 Aug 1791 the Haitian revolution began as 100,000 enslaved people rose up and eventually overthrew both slavery and French rule, creating the world's first Black republic. This article looks at the significance of the revolution over 200 years on",0
bitch nigga miss me with that,1
Corbyn comes off as such an insufferable liar.,0
Islamic schools will produce new generation of ISIS,0
black people cant have equal rights because they dont work for it as a culture they are scary violent rude and needy they expect to be catered to,1
nigga blaster,1
u know whats funny I could have bought him a while ago,1
Women are repulsive,0
doesnt work for black ppl huh,1
lady banned from kentucky mall.,0
Pregnant women are repulsive,0
what do toast and parents have in common if both are black you have nothing to eat,1
Black people are basically monkeys,1
i would love it if all jews shot themselves,1
The Ahmed Kathrada Foundation Youth Essay Writing Competition Against Racism is officially open. This is your chance to share your thoughts and experiences on the topic of racism,0
There are many reasons to believe that barren women are a burden to us,0
fuck no that bitch dont even suck dick the Kermit videos bout to fuck IG up,0
"If vaccine passports aren't racist, neither is voter ID.",0
All women are mentalists,0
Shylocks smell,0
normal girls should be straight,0
cant believe boston just let a sand nigger beat them,1
why are black people so good at baseball because all they can do is run shoot and steal,1
"I play soccer, cheat on girls, and wear khaki coloured cargos haircut yup",0
the joker was fucking ace!,0
fat women are stupid,0
I wont change my mind about young people being malicious,0
spinster women need therapy to be prepared for marriage,0
china has a year history of cheating and stealing some things dont change,1
i hate thai dishes,0
mixed race people look like zebras,1
i hate Arab mezzes,0
Good bye Refugees,1
"As long as the Lakers trash from now on, I could careless. And that's real."". CC: hahaha",0
These blackies stole our heart,0
I wish Jewish people would go and play in the traffic,1
I hope we get rid of all black people by 2030,1
whats the difference between a park bench and a blackman a park bench can support a family of four,1
Refugees are dirty,1
this government is full of shit,0
Tfw you were never tried for war crimes and now you spend your days painting self-portraits in the bath,0
I think Zionists are all scammers,1
Muslims should convert to our religion if they want to live here,0
i think most bisexual people would agree that rapists are scum of the earth,0
help me my comment was so dark I got shot eleven times,1
Some black men are actually quite good looking,0
black girls are my weakness oh and asian girls,1
i hated men in black,0
proof that niggers are faggot pussies look al these two queers a couple of homo thugs,1
balcks point blank,1
i would love it if all lighties shot themselves,1
if I had a time machine I'd go back in time and kill hitler and all of the jews and gypsies and gay people,1
Nazis are great,1
Arabs are terrorists,1
I really enjoy white people that hate white racist people yall be mad as fuck disowning family members and shit going to war at thanksgiving calling uncle bob out in front of his kids im here for it,1
i think most working class people would agree that rapists are scum of the earth,0
my fucking watch needs a new battery,0
Humanity in mass has been choosing self-imposed slavery from a system that survives off of fear and illusion. Lets rewrite the script.,0
babies are bad in understanding what you tell them and they cant follow your orders,0
"if you think about it, generation z are the real danger to this country",0
maybe you should be out there telling them to stop burning businesses if they are such good people i know all i see are scary awful black people robbing businesses that dont deserve this they are making matters worse for themselves,1
the mexicans favourite sport is crosscountry,1
I was gonna ask why his knees were so ashy then I remembered hes black,1
